id,category,productType,type,price,details,image1,image2,inCart,QTY
29,INDIANA JONES,Pop!,POP! MARION RAVENWOOD,12.0,Dr. Jones is on a mission to prevent historical treasures from falling into the wrong hands. Help this legendary archaeologist fend off snakes and recover the biblical Ark of the Covenant by joining this exclusive Pop! Indiana Jones™ on his next expedition. This valuable relic doesn’t belong in a museum—it belongs in your Indiana Jones: Raiders of the Lost Ark™ collection! Vinyl bobblehead is approximately 4.7-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwd27967be/images/funko/upload/59260_POPMovies_ROLTA_Marion_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw241cf435/images/funko/upload/59260_POPMovies_ROLTA_Marion_GLAM-1-WEB.png?sw=800&sh=800,0,1
30,INDIANA JONES,Pop!,POP! HENRY JONES SR.,12.0,Dr. Jones is on a mission to prevent historical treasures from falling into the wrong hands. Help this legendary archaeologist fend off snakes and recover the biblical Ark of the Covenant by joining this exclusive Pop! Indiana Jones™ on his next expedition. This valuable relic doesn’t belong in a museum—it belongs in your Indiana Jones: Raiders of the Lost Ark™ collection! Vinyl bobblehead is approximately 4.7-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwfddf9ec5/images/funko/upload/63987_ROTLA_HenryJonesSr_POP_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwb898cb6e/images/funko/upload/63987_ROTLA_HenryJonesSr_POP_GLAM-1-WEB.png?sw=800&sh=800,0,1
31,POWER RANGERS,Pop!,POP! RANGER SLAYER,15.0,Celebrate the 30th Anniversary of Power Rangers™ by suiting up for action with the Pop! Ranger Slayer! Will this former Pink Ranger be a friend or foe in your collection? Assemble the Power Rangers in your Mighty Morphin Power Rangers™ set and protect the planet from the sinister forces of evil! Vinyl figure is approximately 4-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw993f6b52/images/funko/upload/73960_POPTV_MMPR_30th_RangerSlayer_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw94e5a3b9/images/funko/upload/73960_POPTV_MMPR_30th_RangerSlayer_GLAM-1-D-WEB.png?sw=800&sh=800,0,1
32,POWER RANGERS,Pop!,POP! GREEN RANGER,12.0,Celebrate the 30th Anniversary of Power Rangers™ by suiting up for action with the Pop! Ranger Slayer! Will this former Pink Ranger be a friend or foe in your collection? Assemble the Power Rangers in your Mighty Morphin Power Rangers™ set and protect the planet from the sinister forces of evil! Vinyl figure is approximately 4-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw97d9929e/images/funko/upload/72202PKG_PowerRangers_MMPR30_GreenRanger_POP_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw164135a5/images/funko/upload/72202PKG_PowerRangers_MMPR30_GreenRanger_POP_GLAM-1-WEB.png?sw=800&sh=800,0,1
33,POWER RANGERS,Pop!,POP! BLACK RANGER,12.0,Celebrate the 30th Anniversary of Power Rangers™ by suiting up for action with the Pop! Ranger Slayer! Will this former Pink Ranger be a friend or foe in your collection? Assemble the Power Rangers in your Mighty Morphin Power Rangers™ set and protect the planet from the sinister forces of evil! Vinyl figure is approximately 4-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw43bb6040/images/funko/upload/72154PKG_PowerRangers_MMPR30_BlackRanger_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwda280265/images/funko/upload/72154PKG_PowerRangers_MMPR30_BlackRanger_GLAM-1-WEB.png?sw=800&sh=800,0,1
34,POWER RANGERS,Pop!,POP! BLUE RANGER,12.0,Celebrate the 30th Anniversary of Power Rangers™ by suiting up for action with the Pop! Ranger Slayer! Will this former Pink Ranger be a friend or foe in your collection? Assemble the Power Rangers in your Mighty Morphin Power Rangers™ set and protect the planet from the sinister forces of evil! Vinyl figure is approximately 4-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw0400e4fa/images/funko/upload/72155PKG_PowerRangers_MMPR30_BlueRanger_POP_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw3f4b870b/images/funko/upload/72155PKG_PowerRangers_MMPR30_BlueRanger_POP_GLAM-1-WEB.png?sw=800&sh=800,0,1
35,POWER RANGERS,Pop!,POP! YELLOW RANGER,12.0,Celebrate the 30th Anniversary of Power Rangers™ by suiting up for action with the Pop! Ranger Slayer! Will this former Pink Ranger be a friend or foe in your collection? Assemble the Power Rangers in your Mighty Morphin Power Rangers™ set and protect the planet from the sinister forces of evil! Vinyl figure is approximately 4-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwb520599d/images/funko/upload/72158PKG_PowerRangers_MMPR30_YellowRanger_POP_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwaf550739/images/funko/upload/72158PKG_PowerRangers_MMPR30_YellowRanger_POP_GLAM-1-WEB.png?sw=800&sh=800,0,1
36,POWER RANGERS,Pop!,POP! RED RANGER,12.0,Celebrate the 30th Anniversary of Power Rangers™ by suiting up for action with the Pop! Ranger Slayer! Will this former Pink Ranger be a friend or foe in your collection? Assemble the Power Rangers in your Mighty Morphin Power Rangers™ set and protect the planet from the sinister forces of evil! Vinyl figure is approximately 4-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw7c236bbe/images/funko/upload/72157PKG_PowerRangers_MMPR30_RedRanger_POP_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw30f30b48/images/funko/upload/72157PKG_PowerRangers_MMPR30_RedRanger_POP_GLAM-1-WEB.png?sw=800&sh=800,0,1
37,FUNKO,Bags,FUNKO LOGO FLAP BACKPACK,100.0,"Whether you’re packing for your next convention or keeping things fandom-focused at home, this backpack makes the perfect sidekick for any adventure.",https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw72212bc9/images/funko/upload/FUNBK0004-FUNKODEBOSSEDLOGOFULLSIZEBACKPACK1079FRONT.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwb23f67fb/images/funko/upload/FUNBK0004-FUNKODEBOSSEDLOGOFULLSIZEBACKPACK1082BACK.png?sw=800&sh=800,0,1
38,FUNKO,Bags,FUNKO LOGO BLACK MINI BACKPACK,80.0,"Whether you’re packing for your next convention or keeping things fandom-focused at home, this backpack makes the perfect sidekick for any adventure.",https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwc2206b96/images/funko/upload/FUNBK0006-FUNKOEMBROIDEREDCROWNSLOGOBLACKMINIBACKPACK0994FRONT.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwb09131a6/images/funko/upload/FUNBK0006-FUNKOEMBROIDEREDCROWNSLOGOBLACKMINIBACKPACK50997BACK.png?sw=800&sh=800,0,1
39,FUNKO,Bags,FUNKO LOGO WHITE MINI BACKPACK,80.0,"Whether you’re packing for your next convention or keeping things fandom-focused at home, this backpack makes the perfect sidekick for any adventure.",https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw05b96a4d/images/funko/upload/FUNBK0005-FUNKOEMBROIDEREDCROWNSLOGOWHITEMINIBACKPACK0985FRONT.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw26ceebd1/images/funko/upload/FUNBK0005-FUNKOEMBROIDEREDCROWNSLOGOWHITEMINIBACKPACK0988BACK.png?sw=800&sh=800,0,1
40,AVATAR: THE LAST AIRBENDER,Bags,AVATAR: THE LAST AIRBENDER AAANG MINI BACKPACK,40.0,This backpack is an officially licensed Nickelodeon™ Avatar: The Last Airbender™ product.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw5ab84136/images/funko/upload/NICBK0081-FUNKOPOPMINIBKPKNICKELODEONAVATARAANGAOP0588FRONT.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw8042c9ee/images/funko/upload/NICBK0081-FUNKOPOPMINIBKPKNICKELODEONAVATARAANGAOP0593BACK.png?sw=800&sh=800,0,1
41,DEMON SLAYER,Bags,DEMON SLAYER TANJIRO KAMADO MINI BACKPACK,40.0,This backpack is an officially licensed Demon Slayer product.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw457c1c70/images/funko/upload/DMSBK0001-FUNKOMINIBKPKDEMONSLAYERTANJIROCHECKERBOARD0595FRONT.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwbd7d6950/images/funko/upload/DMSBK0001-FUNKOMINIBKPKDEMONSLAYERTANJIROCHECKERBOARD0597BACK.png?sw=800&sh=800,0,1
42,AVATAR: THE LAST AIRBENDER,Bags,LIMITED EDITION AVATAR: THE LAST AIRBENDER APPA POP! & BAG BUNDLE,120.0,This backpack is an officially licensed Demon Slayer product.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw5ce3e1eb/images/funko/upload/NICBK0071-LFNICKELODEONTHELASTAIRBENDERAPPAPOPANDBAG3542GROUP.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwcf80ca3d/images/funko/upload/NICBK0071-LFNICKELODEONTHELASTAIRBENDERAPPAPOPANDBAG3547BACK.png?sw=800&sh=800,0,1
43,POWER RANGERS,Bags,MIGHTY MORPHIN POWER RANGERS MINI BACKPACK,40.0,This backpack is an officially licensed Mighty Morphin Power Rangers™ product.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw8b1917e3/images/funko/upload/PWRBK0002_FUNKOPOP_MINIBKPK_POWERRANGERS_CHARACTERPRINT-GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw1941245b/images/funko/upload/PWRBK0002_FUNKOPOP_MINIBKPK_POWERRANGERS_CHARACTERPRINT-GLAM-2-WEB.png?sw=800&sh=800,0,1
44,NARUTO SHIPPUDEN,Bags,NARUTO SHIPPUDEN MIGHT GUY,120.0,This backpack is an officially licensed Naruto Shippuden product.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwbec8ae43/images/funko/upload/NRBK0011-LFNARUTOMIGHTGUYPOPANDBAG0606FRONT.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw02e8db0a/images/funko/upload/NRBK0011-LFNARUTOMIGHTGUYPOPANDBA0613BACK.png?sw=800&sh=800,0,1
45,INDIANA JONES,Bags,INDIANA JONES AND THE RAIDERS OF THE LOST ARK MINI BACKPACK,40.0,This backpack is an officially licensed Indiana Jones™ product.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwa60d6f61/images/funko/upload/IJBK0001_FUNKO-POP-MINI-BKPK--INDIANA-JONES-RAIDERS-AOP_GLAM-1-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwd12d4c4f/images/funko/upload/IJBK0001_FUNKO-POP-MINI-BKPK--INDIANA-JONES-RAIDERS-AOP_GLAM-3-WEB.png?sw=800&sh=800,0,1
46,MARVEL,Apparel,SPIDER-MAN: MILES MORALES BOXED TEE,20.0,We are not able to exchange sizes or offer replacements for apparel that was sent in the size ordered.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw3a6a3b7c/images/funko/66111-1_C.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwd6e00439/images/funko/66111-2_C.png?sw=800&sh=800,0,1
47,MARVEL,Apparel,THOR AND MIGHTY THOR BOXED TEE,20.0,We are not able to exchange sizes or offer replacements for apparel that was sent in the size ordered.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwd9a8dd17/images/funko/63347-1_C.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw55b6bd6b/images/funko/63347-2_C.png?sw=800&sh=800,0,1
48,NARUTO SHIPPUDEN,Apparel,NARUTO VS PAIN BOXED TEE,20.0,We are not able to exchange sizes or offer replacements for apparel that was sent in the size ordered.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwb0726670/images/funko/upload/72879_NARUTO_VS_PAIN_WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwbc50301d/images/funko/upload/72879_NARUTO_VS_PAIN_BOX_WEB.png?sw=800&sh=800,0,1
49,NARUTO SHIPPUDEN,Apparel,MIGHT GUY EIGHT GATES BOXED TEE,20.0,We are not able to exchange sizes or offer replacements for apparel that was sent in the size ordered.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw2497e7f2/images/funko/66658-1_C.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw9a753a62/images/funko/66658-2_C.png?sw=800&sh=800,0,1
50,DRAGON BALL Z,Apparel,GOKU KAMEHAMEHA BOXED TEE,20.0,We are not able to exchange sizes or offer replacements for apparel that was sent in the size ordered.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw59e64acf/images/funko/upload/72771_GOKU_KAMEHAMEHA_WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw754e19fa/images/funko/upload/72771_GOKU_KAMEHAMEHA_BOX_WEB.png?sw=800&sh=800,0,1
51,DRAGON BALL Z,Apparel,TRUNKS BOXED TEE,20.0,We are not able to exchange sizes or offer replacements for apparel that was sent in the size ordered.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw372fda77/images/funko/65427-1_C.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw5dadc32a/images/funko/65427-2_C.png?sw=800&sh=800,0,1
